关卡ID,关卡名称,随机元素种类（至少3色）,消除目标,关卡步数,3星要求,金币奖励,棋盘形状64位掩码,首次通关道具奖励
25,25,cake07|cake03|cake05|cake04|cake02|cake08|cake06|cake01,cake07-5,8,150|300|450,25|25|50,1111100011111100011111100011111100011111000011110000011100000011,random:1
26,26,cake06|cake02|cake01|cake07|cake08|cake04|cake05|cake03,cake06-5,8,150|300|450,25|25|50,0111111000111100000110000001100000011000000110000011110001111110,random:1
27,27,cake06|cake03|cake02|cake04|cake05|cake07|cake01|cake08,cake06-5,8,150|300|450,25|25|50,1111100011111100011111100011111100011111000011110000011100000011,random:1
28,28,cake02|cake01|cake04|cake05|cake06|cake08|cake03|cake07,cake02-5,8,150|300|450,25|25|50,0111111011111111111111111111111111111111111111111111111101111110,random:1
29,29,cake08|cake01|cake05|cake04|cake06|cake07|cake02|cake03,cake08-5,8,150|300|450,25|25|50,1111100011111100011111100011111100011111000011110000011100000011,random:1
30,30,cake08|cake01|cake03|cake02|cake05|cake06|cake07|cake04,cake08-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
31,31,cake05|cake07|cake02|cake04|cake01|cake03|cake08|cake06,cake05-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
32,32,cake02|cake07|cake05|cake01|cake08|cake04|cake03|cake06,cake02-5,8,150|300|450,25|25|50,0011110001111110111111111110011111100111111111110111111000111100,random:1
33,33,cake01|cake03|cake06|cake04|cake05|cake08|cake02|cake07,cake01-5,8,150|300|450,25|25|50,1100001111000011110000111111111111111111110000111100001111000011,random:1
34,34,cake01|cake02|cake06|cake04|cake05|cake08|cake03|cake07,cake01-5,8,150|300|450,25|25|50,0011110001111110111111111110011111100111111111110111111000111100,random:1
35,35,cake02|cake01|cake08|cake06|cake03|cake05|cake04|cake07,cake02-5,8,150|300|450,25|25|50,1111000011110000111100000000000000000000000011110000111100001111,random:1
36,36,cake02|cake01|cake04|cake06|cake03|cake07|cake08|cake05,cake02-5,8,150|300|450,25|25|50,0011110001111110111111111110011111100111111111110111111000111100,random:1
37,37,cake05|cake06|cake01|cake02|cake04|cake08|cake03|cake07,cake05-5,8,150|300|450,25|25|50,0111111011111111111111111111111111111111111111111111111101111110,random:1
38,38,cake08|cake05|cake01|cake04|cake06|cake02|cake03|cake07,cake08-5,8,150|300|450,25|25|50,0111111011111111111111111111111111111111111111111111111101111110,random:1
39,39,cake08|cake03|cake05|cake02|cake06|cake04|cake01|cake07,cake08-5,8,150|300|450,25|25|50,1111100011111100011111100011111100011111000011110000011100000011,random:1
40,40,cake01|cake05|cake06|cake08|cake04|cake02|cake03|cake07,cake01-5,8,150|300|450,25|25|50,1111100011111100011111100011111100011111000011110000011100000011,random:1
41,41,cake08|cake06|cake03|cake07|cake02|cake04|cake01|cake05,cake08-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
42,42,cake01|cake02|cake03|cake07|cake08|cake05|cake04|cake06,cake01-5,8,150|300|450,25|25|50,1111111111111111111111111111111111111111111111111111111111111111,random:1
43,43,cake01|cake04|cake06|cake02|cake05|cake03|cake07|cake08,cake01-5,8,150|300|450,25|25|50,0111111011111111111111111111111111111111111111111111111101111110,random:1
44,44,cake05|cake07|cake08|cake03|cake01|cake02|cake04|cake06,cake05-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
45,45,cake01|cake04|cake06|cake02|cake07|cake03|cake08|cake05,cake01-5,8,150|300|450,25|25|50,0111111000111100000110000001100000011000000110000011110001111110,random:1
46,46,cake08|cake06|cake02|cake07|cake04|cake01|cake03|cake05,cake08-5,8,150|300|450,25|25|50,1111000011110000111100000000000000000000000011110000111100001111,random:1
47,47,cake05|cake01|cake03|cake06|cake07|cake04|cake02|cake08,cake05-5,8,150|300|450,25|25|50,1111111111111111111111111111111111111111111111111111111111111111,random:1
48,48,cake04|cake01|cake05|cake08|cake07|cake03|cake02|cake06,cake04-5,8,150|300|450,25|25|50,1111111111111111111111111111111111111111111111111111111111111111,random:1
49,49,cake01|cake03|cake07|cake04|cake08|cake05|cake06|cake02,cake01-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
50,50,cake06|cake01|cake03|cake05|cake02|cake07|cake08|cake04,cake06-5,8,150|300|450,25|25|50,0011110000111100111111111111111111111111111111110011110000111100,random:1
51,51,cake07|cake01|cake08|cake04,cake04-16|cake01-17|cake08-16,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
52,52,cake03|cake01|cake07|cake06,cake07-17|cake06-16|cake03-16,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
53,53,cake03|cake07|cake01,cake07-50,4,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
54,54,cake01|cake05|cake02,cake01-50,4,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
55,55,cake03|cake07|cake01,cake03-50,4,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
56,56,cake06|cake05|cake01,cake06-39,6,1950|1950|5850,130|130|390,0011110000111100111111111111111111111111111111110011110000111100,none
57,57,cake08|cake01|cake05,cake05-50,6,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
58,58,cake04|cake08|cake07,cake07-50,6,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
59,59,cake01|cake05|cake04,cake05-24|cake01-25,6,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
60,60,cake02|cake07|cake06|cake08,cake06-29,17,1450|1450|4350,100|100|290,1111100011111100011111100011111100011111000011110000011100000011,none
61,61,cake04|cake08|cake05|cake07,cake07-42,24,2100|2100|6300,140|140|420,1111000011110000111100000000000000000000000011110000111100001111,none
62,62,cake06|cake04|cake07|cake05|cake01|cake03|cake08,cake07-16|cake06-16|cake04-16,27,2400|2400|7200,160|160|480,0111111011111111111111111111111111111111111111111111111101111110,none
63,63,cake04|cake01|cake03|cake08|cake05|cake07,cake08-16|cake04-16|cake07-16,27,2400|2400|7200,160|160|480,0001100000111100011111101111111111111111011111100011110000011000,none
64,64,cake07|cake04|cake01|cake02,cake02-16|cake07-16|cake01-16,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
65,65,cake08|cake01|cake07|cake04|cake06|cake02|cake05,cake07-16|cake04-16|cake01-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
66,66,cake07|cake03|cake04|cake08|cake02,cake04-16|cake03-16|cake02-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
67,67,cake02|cake05|cake08|cake07,cake05-16|cake07-16|cake02-16,27,2400|2400|7200,160|160|480,1100001111000011110000111111111111111111110000111100001111000011,none
68,68,cake05|cake01|cake02|cake07|cake08|cake04|cake03,cake04-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
69,69,cake08|cake07|cake02|cake05|cake04|cake03,cake02-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
70,70,cake04|cake03|cake06|cake02|cake01|cake05,cake05-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
71,71,cake06|cake01|cake03|cake08|cake05,cake01-50,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
72,72,cake02|cake03|cake06|cake07|cake08|cake05|cake01,cake06-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
73,73,cake08|cake04|cake06|cake03,cake06-25|cake08-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
74,74,cake07|cake05|cake08|cake01|cake06|cake04|cake02,cake06-24|cake04-25,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
75,75,cake05|cake03|cake04|cake07|cake01|cake06,cake06-24|cake01-25,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
76,76,cake02|cake03|cake06|cake01|cake07,cake03-25|cake06-24,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
77,77,cake08|cake06|cake02|cake05|cake01|cake04,cake01-25|cake08-24,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
78,78,cake08|cake05|cake01,cake05-35,4,1750|1750|5250,120|120|350,0111111011111111111111111111111111111111111111111111111101111110,none
79,79,cake03|cake01|cake02,cake03-50,4,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
80,80,cake04|cake08|cake05,cake08-50,6,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
81,81,cake02|cake01|cake08,cake02-25|cake01-24,6,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
82,82,cake05|cake03|cake08,cake05-24|cake03-25,6,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
83,83,cake06|cake03|cake04,cake06-25|cake03-25,6,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
84,84,cake06|cake03|cake04|cake01|cake07|cake02|cake08,cake01-29,17,1450|1450|4350,100|100|290,1111100011111100011111100011111100011111000011110000011100000011,none
85,85,cake08|cake04|cake02|cake01|cake06,cake01-16|cake02-16|cake06-16,27,2400|2400|7200,160|160|480,1111000011110000111100000000000000000000000011110000111100001111,none
86,86,cake05|cake02|cake01|cake03|cake08|cake06|cake07,cake03-16|cake07-16|cake05-16,27,2400|2400|7200,160|160|480,0111111011111111111111111111111111111111111111111111111101111110,none
87,87,cake01|cake04|cake07|cake05|cake06|cake02|cake08,cake07-16|cake06-16|cake02-16,27,2400|2400|7200,160|160|480,0001100000111100011111101111111111111111011111100011110000011000,none
88,88,cake03|cake04|cake02|cake06|cake07|cake01,cake02-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
89,89,cake05|cake01|cake07|cake06,cake05-50,28,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
90,90,cake02|cake07|cake06|cake08|cake05,cake08-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
91,91,cake05|cake01|cake04|cake02|cake07|cake08,cake04-50,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
92,92,cake05|cake03|cake06|cake01,cake03-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
93,93,cake01|cake02|cake06|cake05|cake03|cake08,cake08-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
94,94,cake04|cake07|cake06|cake03|cake05|cake01|cake08,cake04-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
95,95,cake01|cake06|cake03|cake05|cake02|cake08|cake07,cake08-24|cake01-25,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
96,96,cake05|cake01|cake07|cake08|cake06,cake05-25|cake01-24,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
97,97,cake03|cake01|cake02|cake08|cake04|cake05,cake02-25|cake04-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
98,98,cake01|cake02|cake03|cake07,cake02-24|cake07-25,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
99,99,cake04|cake01|cake03|cake02|cake07,cake03-24|cake04-25,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
100,100,cake01|cake02|cake07|cake08,cake01-24|cake08-25,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
101,101,cake06|cake04|cake03|cake05|cake02|cake01|cake07,cake04-16|cake06-17|cake03-16,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
102,102,cake07|cake04|cake06|cake05|cake02|cake03|cake01,cake01-16|cake03-16|cake02-17,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
103,103,cake01|cake05|cake02,cake01-32,4,1600|1600|4800,110|110|320,0001100000111100011111101111111111111111011111100011110000011000,none
104,104,cake03|cake01|cake02,cake01-47,4,2350|2350|7050,160|160|470,0011110000111100111111111111111111111111111111110011110000111100,none
105,105,cake03|cake06|cake01,cake03-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
106,106,cake08|cake05|cake01,cake08-50,4,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
107,107,cake02|cake03|cake01,cake02-50,4,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
108,108,cake07|cake05|cake01,cake07-50,4,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
109,109,cake03|cake05|cake01,cake05-50,4,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
110,110,cake02|cake04|cake01,cake04-50,4,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
111,111,cake04|cake06|cake05,cake06-38,6,1900|1900|5700,130|130|380,0001100000111100011111101111111111111111011111100011110000011000,none
112,112,cake03|cake04|cake01,cake04-50,6,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
113,113,cake05|cake02|cake04,cake05-50,6,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
114,114,cake06|cake04|cake08|cake03|cake02|cake01,cake03-16|cake02-16|cake06-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
115,115,cake07|cake06|cake03|cake08|cake05,cake06-16|cake05-16|cake03-16,27,2400|2400|7200,160|160|480,1100001111000011110000111111111111111111110000111100001111000011,none
116,116,cake01|cake07|cake08|cake06|cake03,cake06-16|cake08-16|cake01-16,27,2400|2400|7200,160|160|480,1111100011111100011111100011111100011111000011110000011100000011,none
117,117,cake05|cake07|cake03|cake01|cake04,cake03-16|cake04-16|cake01-16,27,2400|2400|7200,160|160|480,1111000011110000111100000000000000000000000011110000111100001111,none
118,118,cake08|cake01|cake02|cake07|cake05|cake06|cake04,cake02-16|cake01-16|cake04-16,27,2400|2400|7200,160|160|480,0111111011111111111111111111111111111111111111111111111101111110,none
119,119,cake01|cake04|cake05|cake07|cake06|cake03|cake02,cake06-16|cake02-16|cake05-16,27,2400|2400|7200,160|160|480,0001100000111100011111101111111111111111011111100011110000011000,none
120,120,cake06|cake05|cake02|cake03,cake02-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
121,121,cake02|cake06|cake05|cake04|cake03|cake01|cake08,cake08-50,28,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
122,122,cake02|cake06|cake05|cake04|cake08|cake01|cake03,cake08-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
123,123,cake04|cake03|cake02|cake01,cake01-50,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
124,124,cake06|cake07|cake02|cake08|cake01|cake03,cake07-26|cake01-23,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
125,125,cake02|cake06|cake07|cake01|cake08|cake05|cake03,cake01-24|cake06-25,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
126,126,cake04|cake01|cake02|cake05,cake04-24|cake01-25,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
127,127,cake08|cake07|cake05|cake02|cake06|cake01,cake02-25|cake05-25,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
128,128,cake08|cake06|cake01,cake06-27,4,1350|1350|4050,90|90|270,0011110000111100111111111111111111111111111111110011110000111100,none
129,129,cake01|cake05|cake02,cake01-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
130,130,cake02|cake04|cake05,cake04-50,6,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
131,131,cake04|cake01|cake07,cake01-50,6,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
132,132,cake01|cake07|cake05,cake05-50,6,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
133,133,cake02|cake06|cake04|cake05|cake03|cake01,cake04-40,23,2000|2000|6000,135|135|400,1111000011110000111100000000000000000000000011110000111100001111,none
134,134,cake04|cake05|cake07|cake02,cake04-48,27,2400|2400|7200,160|160|480,0111111011111111111111111111111111111111111111111111111101111110,none
135,135,cake03|cake04|cake01|cake07|cake06,cake07-15|cake03-16|cake01-17,27,2400|2400|7200,160|160|480,0001100000111100011111101111111111111111011111100011110000011000,none
136,136,cake07|cake03|cake05|cake04|cake01|cake06,cake05-16|cake04-16|cake06-16,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
137,137,cake07|cake05|cake02|cake06|cake03,cake02-16|cake07-16|cake03-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
138,138,cake01|cake05|cake07|cake02|cake04|cake08|cake06,cake05-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
139,139,cake04|cake03|cake02|cake01|cake07|cake06,cake04-50,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
140,140,cake06|cake08|cake02|cake03|cake01|cake04|cake05,cake03-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
141,141,cake04|cake03|cake06|cake08,cake08-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
142,142,cake08|cake04|cake05|cake02|cake01|cake03|cake07,cake08-25|cake03-24,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
143,143,cake05|cake03|cake08|cake06|cake01|cake07,cake01-24|cake07-25,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
144,144,cake02|cake04|cake01|cake08|cake07|cake05|cake03,cake05-25|cake04-24,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
145,145,cake01|cake04|cake02|cake05,cake04-25|cake05-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
146,146,cake04|cake02|cake05|cake07|cake06|cake01,cake05-25|cake04-24,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
147,147,cake04|cake08|cake02|cake05|cake01|cake06,cake08-25|cake04-24,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
148,148,cake08|cake04|cake03|cake06|cake05,cake05-25|cake08-24,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
149,149,cake01|cake04|cake02|cake06|cake08,cake06-24|cake01-25,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
150,150,cake08|cake01|cake03|cake04,cake04-25|cake08-25,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
151,151,cake04|cake06|cake07|cake08|cake03|cake05,cake06-16|cake05-17|cake03-16,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
152,152,cake04|cake01|cake02|cake03,cake03-16|cake01-17|cake02-16,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
153,153,cake02|cake05|cake01,cake02-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
154,154,cake04|cake03|cake01,cake04-50,4,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
155,155,cake06|cake01|cake02,cake06-50,4,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
156,156,cake07|cake06|cake03,cake07-50,6,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
157,157,cake01|cake04|cake06,cake04-25|cake01-25,6,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
158,158,cake06|cake08|cake01|cake05|cake04|cake03|cake07,cake05-33,19,1650|1650|4950,110|110|330,0111111011111111111111111111111111111111111111111111111101111110,none
159,159,cake07|cake05|cake02|cake06|cake08|cake04,cake06-35,20,1750|1750|5250,120|120|350,0001100000111100011111101111111111111111011111100011110000011000,none
160,160,cake05|cake07|cake03|cake02|cake06|cake04|cake08,cake07-16|cake02-16|cake06-16,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
161,161,cake06|cake07|cake04|cake03|cake05|cake01|cake02,cake02-16|cake04-16|cake01-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
162,162,cake03|cake07|cake06|cake02|cake08,cake03-16|cake08-16|cake06-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
163,163,cake01|cake03|cake08|cake06|cake05|cake07|cake04,cake03-16|cake07-16|cake01-16,27,2400|2400|7200,160|160|480,1100001111000011110000111111111111111111110000111100001111000011,none
164,164,cake04|cake01|cake05|cake07|cake06|cake08|cake02,cake02-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
165,165,cake03|cake06|cake04|cake01|cake02|cake07|cake08,cake04-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
166,166,cake07|cake08|cake04|cake03|cake06,cake07-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
167,167,cake08|cake03|cake01|cake07|cake04,cake08-50,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
168,168,cake05|cake01|cake08|cake06,cake08-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
169,169,cake07|cake08|cake02|cake04|cake05|cake03,cake04-25|cake05-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
170,170,cake03|cake06|cake05|cake07|cake02,cake06-25|cake07-24,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
171,171,cake06|cake02|cake07|cake05|cake08|cake01|cake04,cake05-25|cake06-24,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
172,172,cake02|cake01|cake08|cake03|cake06,cake08-25|cake03-24,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
173,173,cake01|cake07|cake03|cake02|cake04|cake05,cake04-25|cake07-24,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
174,174,cake05|cake01|cake02|cake03|cake07|cake06,cake05-24|cake07-25,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
175,175,cake01|cake06|cake05|cake03|cake04|cake07,cake01-25|cake06-25,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
176,176,cake08|cake06|cake05|cake01|cake04|cake02,cake05-17|cake06-15|cake01-17,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
